id,name,cleaned_incredients
175,Keto Chicken Tenders with Fried Pickles and Ranch Dipping Sauce,"For the chicken tenders and fried pickles - 2 medium eggs, whisked 0.5 cup of coconut flour (56 g) 0.5 cup of almond flour (60 g) 2 Tablespoons of garlic powder (20 g) 1 Tablespoon of salt (15 g) 2 teaspoons of paprika (4 g) 4 small pickles (148 g), sliced 4 chicken breasts (800 g), cut into long strips (or equivalent amount of pre-sliced chicken tenders) For the ranch dipping sauce - 0.5 cup of mayo (120 ml) 0.5 Tablespoon of garlic powder (5 g) 1 Tablespoon of fresh parsley (1 g), finely chopped 2 teaspoons of fresh dill (2 g), finely chopped Salt, to taste"
176,Keto Pasta alla Norma with Ground Beef,"4 Tablespoons of olive oil (60 ml), divided, to cook with 0.25 medium onion (28 g), diced 0.75 lb of ground beef (338 g) 0.5 medium eggplant (250 g), chopped into large pieces 8 cherry tomatoes (136 g), diced 2 cloves of garlic (6 g), minced or finely diced 1 zucchini (120 g), peeled 0.25 cup of fresh basil leaves (8 g), torn or chopped Salt and pepper, to taste"
177,Keto BLT Salad,"6 slices of bacon (168 g), diced 2 Tablespoons of mayo (30 ml) 1 head of romaine lettuce (200 g), chopped 6 cherry tomatoes (102 g), quartered 1 large avocado (200 g), diced Salt and pepper, to taste"
178,Keto Marinated Radishes with Sardines and Keto Toast,"For the marinated radishes and sardines - 4 radishes (8 g), sliced 2 Tablespoons of lime juice (30 ml) 2 cans of sardines (200 g), drained 2 Tablespoons of olive oil (30 ml) 2 Tablespoons of fresh parsley (4 g), chopped Salt and pepper, to taste For the keto toast - 1/3 cup of almond flour (40 g) 0.5 teaspoon of baking powder (1 g) 1 medium egg (49 g), whisked 2.5 Tablespoons of ghee (38 ml), melted 1 teaspoon of salt (2 g)"
179,Keto Bangers and Mash,"For the bangers - 2 Tablespoons of coconut oil (30 ml), to cook with 0.5 lb of sausages of your choice (225 g) For the mash - 0.5 head of cauliflower (300 g), broken into small florets 2 Tablespoons of ghee (30 ml), melted Salt, to taste"
180,Keto Traditional Stuffed Peppers,"4 medium bell peppers (480 g) 0.25 cup of ghee (60 ml), melted 0.75 lb of ground beef (338 g) 1 medium onion (110 g), finely diced 1 cup of chicken broth (240 ml) 0.5 head of cauliflower (300 g), processed into rice-like pieces 1 small tomato (90 g), finely diced 4 cloves of garlic (12 g), minced or finely diced 0.25 cup of fresh basil leaves (8 g), chopped Salt and pepper, to taste"
181,"Keto Lemony Chicken Salad with Carrot ""Noodles""","2 carrots (100 g), peeled 4 Tablespoons of olive oil (60 ml), divided 1 chicken breast (200 g), diced 2 Tablespoons of lemon juice (30 ml), (plus 2 teaspoons [4 g] of lemon zest) 0.25 cup of fresh parsley (8 g), finely chopped Salt and pepper, to taste"
182,Keto Loaded Zucchini Fries with Garlic Beef,"2 zucchinis (240 g), seeds removed, halved and cut into fry-size wedges 2 Tablespoons of avocado oil (30 ml), to cook fries with 2 Tablespoons of garlic powder (20 g) 2 Tablespoons of fresh parsley (2 g), finely chopped 2 Tablespoons of olive oil (30 ml), to cook steaks with 2 beef steaks (400 g), sliced into thin strips 4 cloves of garlic (12 g), minced or finely diced Salt and pepper, to taste"
184,Keto Sesame Chicken with Asian Slaw and Tahini Sauce,"For the chicken - 2 chicken breasts (400 g) 2 Tablespoons of avocado oil (30 ml), to cook with Salt, to taste For the slaw - 1 carrot (50 g), shredded 1 zucchini (120 g), shredded 1 cucumber (220 g), shredded 3 green onions (15 g), chopped 1 Tablespoon of fresh ginger (5 g), minced or finely diced 1 Tablespoon of sesame oil (15 ml) 1 Tablespoon of lemon juice (15 ml) 2 Tablespoons of sesame seeds (28 g) Salt and pepper, to taste For the tahini sauce - 2 Tablespoons of tahini sauce (30 ml) 1 teaspoon of gluten-free tamari sauce or coconut aminos (5 ml) 1 teaspoon of sesame oil (5 ml)"
185,Keto Warm Bacon Asparagus Salad,"8 slices of bacon (224 g), chopped 12 spears of asparagus (192 g), chopped 1 head of romaine lettuce (200 g), chopped 0.5 large avocado (100 g), diced 1 Tablespoon of lemon juice (15 ml) Salt and pepper, to taste"
186,Keto Simple Veggie and Beef Saute,"0.25 cup of coconut oil (60 ml), to cook with 0.75 lb of ground beef (338 g) 0.5 head of broccoli (225 g), finely chopped 1 carrot (50 g), finely chopped 3 green onions (15 g), chopped 4 cloves of garlic (12 g), minced or finely chopped 1 chili pepper (14 g), finely chopped (optional) 1 Tablespoon of fresh ginger (5 g), minced Salt and pepper, to taste"
187,"Keto Asian Beef Mince ""Noodle"" Bowl with Fried Egg","2 zucchinis (240 g), peeled 3 Tablespoons of avocado oil (45 ml), divided, to cook with 0.75 lbs of ground beef (338 g) 1 carrot (50 g), grated 2 cloves of garlic (6 g), minced or finely diced 1 Tablespoon of fresh ginger (5 g), minced or finely diced 2 Tablespoons of fresh cilantro (2 g), chopped 2 medium eggs Salt and pepper, to taste"
188,Keto Poached Egg and Avocado Salad with Bacon Parsley Vinaigrette,"4 slices of bacon (112 g), diced 2 Tablespoons of fresh parsley (2 g), chopped 1 Tablespoon of lemon juice (15 ml) 2 medium eggs 1 large avocado (200 g), sliced Salt and pepper, to taste"
190,Keto Grilled Sausage with Green and Orange Hash,"1.5 lbs of sausages of your choice (675 g) 2 Tablespoons of coconut oil (30 ml), to cook with 1 head of broccoli (450 g), grated 1 carrot (50 g), grated 2 green onions (20 g), chopped Salt and pepper, to taste"
191,Keto Japanese-Style Salmon with Rice,"0.5 head of cauliflower (300 g), processed into rice-like pieces 2 Tablespoons of avocado oil (30 ml), to cook salmon with 2 filets of salmon (with skin on), fresh or frozen (340 g), defrosted if frozen 2 Tablespoons (30ml) of gluten-free tamari sauce or coconut aminos 1 Tablespoon of sesame seeds (14 g) Salt and pepper, to taste"
192,Keto Cottage Pie,"1 head of cauliflower (600 g), broken into florets 2 Tablespoons of ghee (30 ml), melted 0.25 cup of avocado oil (60 ml), to cook beef with 1 medium onion (110 g), finely chopped 1.5 lbs of ground beef (675 g) 1 carrot (50 g), grated 2 Tablespoons of Italian seasoning (6 g) 2 Tablespoons of fresh parsley (2 g), finely chopped Salt and pepper, to taste"
193,Keto Easy Egg and Tuna Salad,"2 medium eggs 2 cans of tuna (340 g), drained and flaked 0.5 cucumber (110 g), diced 0.25 medium onion (28 g), thinly sliced 0.25 cup of mayo (60 ml) 1 Tablespoon of mustard (15 ml) 4 cups of spinach (120 g) Salt and pepper, to taste"
195,Keto Italian Burgers with Roasted Asparagus,"For the burgers - 1.5 lbs of ground beef (675 g) 2 Tablespoons of Italian seasoning (6 g) 2 Tablespoons of garlic powder (20 g) 1 Tablespoon of onion powder (7 g) 1 Tablespoon of coconut oil (15 ml), to cook with Salt and pepper, to taste For the asparagus - 28 spears of asparagus (448 g) 1 Tablespoon of olive oil (15 ml) Salt and pepper, to taste"
196,Keto Broccoli Bacon Salad with Onions and Coconut Cream,"1 Tablespoon of coconut oil (15 ml), to cook with 5 slices of bacon (140 g), diced 0.5 medium onion (55 g), thinly sliced 0.5 head of broccoli (225 g), chopped into small florets 0.5 cup of coconut cream (120 ml) (from the top of 1 refrigerated can of coconut milk) Salt and pepper, to taste"
197,Keto Mu Shu Pork,"2 Tablespoons of coconut oil (30 ml), divided, to cook with 4 medium eggs, whisked 0.75 lb of pork tenderloin (338 g), cut into 1-inch (2.5 cm) strips 0.5 head of cabbage (350 g), shredded or thinly sliced 4 white button mushrooms (40 g), sliced 1 teaspoon of fresh ginger (2 g), minced or finely diced 2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml) 1 teaspoon of vinegar (5 ml) (of choice) Salt and pepper, to taste"
198,Keto Creamy Chicken and Mushroom Pasta,"2 zucchinis (240 g), peeled 1 Tablespoon of ghee (15 ml), to cook with 3 cloves of garlic (9 g), minced or finely diced 1 chicken breast (200 g), diced 0.25 medium onion (28 g), thinly sliced 10 white button mushrooms (100 g), sliced 2 teaspoons of paprika (4 g) 1 teaspoon of Italian seasoning (1 g) 0.25 cup of coconut cream (60 ml) (from the top of 1 refrigerated can of coconut milk) 1 cup of chicken broth (240 ml) 0.25 cup of fresh parsley (4 g), chopped Salt and pepper, to taste"
199,Keto Mushroom Frittata,"1 Tablespoon of coconut oil (15 ml), to cook with 2 cloves of garlic (6 g), minced or finely diced 10 white button mushrooms (100 g), sliced 0.25 medium onion (28 g), thinly sliced 1 medium bell pepper (120 g), diced 3 Tablespoons of fresh parsley (3 g), chopped 1 Tablespoon of Italian seasoning (3 g) 6 medium eggs 0.25 cup of coconut cream (60 ml) (from the top of 1 refrigerated can of coconut milk) Salt and pepper, to taste"
200,Keto Salmon with Cabbage and Onions,"4 slices of bacon (112 g), diced 0.5 medium onion (55 g), thinly sliced 0.25 head of cabbage (175 g), thinly sliced 0.25 cup of chicken broth (60 ml) 2 filets of salmon (with skin on), fresh or frozen (340 g), defrosted if frozen 1 Tablespoon of olive oil (15 ml), to cook with Salt and pepper, to taste"
201,Keto Bacon Caesar Salad,"For the salad - 5 slices of bacon (140 g), diced 1 large bag of salad leaves (125 g) 0.5 cucumber (110 g), diced 0.5 large avocado (100 g), diced For the dressing - 0.25 cup of mayo (60 ml) 1 Tablespoon of lemon juice (15 ml) 1 teaspoon of mustard (5 ml) Salt and pepper, to taste"
202,Keto Chicken Tacos,"1 Tablespoon of coconut oil (15 ml), to cook with 1 medium bell pepper (120 g), diced 1 medium onion (110 g), thinly sliced 2 Tablespoons of paprika (12 g) 2 Tablespoons of garlic powder (20 g) 1 Tablespoon of cumin powder (6 g) 1 teaspoon of chili powder (2 g) 2 Tablespoons of salt (30 g) (or to taste) 0.5 teaspoon of pepper (1 g) (or to taste) 4 chicken breasts (800 g), diced 1 head of romaine lettuce (200 g), leaves separated (for serving) 1 large avocado (200 g), sliced (for serving)"
203,Keto Zucchini Beef Saute,"1 Tablespoon of coconut oil (15 ml), to cook with 2 cloves of garlic (6 g), minced or finely diced 0.75 lb of ground beef (338 g) 1 zucchini (120 g), chopped 2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml) 0.25 cup of fresh cilantro (4 g), chopped Salt and pepper, to taste"
205,Keto Gazpacho Soup,"1 Tablespoon of ghee (15 ml), to cook with 0.5 medium onion (55 g), thinly sliced 2 cloves of garlic (6 g), minced or finely diced 2 small tomatoes (180 g), chopped 1 medium bell pepper (120 g), diced 1 Tablespoon of paprika (6 g) 1 Tablespoon of dried oregano (3 g) 1 Tablespoon of dried thyme (3 g) 3 Tablespoons of fresh parsley (3 g), chopped 4 cups of chicken broth (960 ml) 1 cucumber (220 g), diced Salt and pepper, to taste"
206,Keto Bacon Lemon Thyme Muffins,"4 slices of bacon (112 g), finely chopped 0.5 cup of ghee (120 ml), melted and cooled 3 cups of almond flour (360 g) 4 medium eggs (196 g), whisked 2 teaspoons of fresh lemon thyme (2 g) (or other fresh herb of choice), chopped 1 teaspoon of baking soda (4 g) 0.5 teaspoon of salt (2 g) (optional)"
207,Keto Crispy Chicken Lunch Bowl with Cabbage Slaw,"For the chicken - 2 chicken breasts (400 g) (with skin on) 2 Tablespoons of coconut oil (30 ml), to cook with Salt and pepper, to taste For the cabbage slaw - 1 head of cabbage (700 g), shredded or thinly sliced 1 carrot (50 g), shredded or thinly sliced 3 green onions (15 g), chopped 3 Tablespoons of olive oil (45 ml) 3 Tablespoons of lime juice (45 ml) 1 large avocado (200 g), sliced 2 Tablespoons of fresh cilantro (2 g), chopped (for garnish) Salt and pepper, to taste"
208,Keto Pan-Fried Salmon and Kale with Cauliflower Mash,"Ingredients: For the salmon and kale - 2 filets of salmon (with skin on), fresh or frozen (340 g), defrosted if frozen 2 Tablespoons of avocado oil (30 ml), to cook with 4 oz of kale (112 g), stems removed and chopped Salt and pepper, to taste For the cauliflower mash - 0.5 head of cauliflower (300 g), broken into small florets 2 Tablespoons of ghee (30 ml), melted Salt, to taste"
209,Keto Savory Bacon-Loaded Coconut Flour Pancakes,"4 slices of bacon (112 g), diced 1 medium egg, whisked 2 Tablespoons of coconut flour (14 g) 0.25 cup of coconut milk (60 ml) (from a room temperature can) 0.25 teaspoon of baking soda (1 g) 2 Tablespoons of coconut oil (30 ml), to cook pancakes with 2 Tablespoons of coconut cream (30 ml) (from the top of 1 refrigerated can of coconut milk) 1 green onion (5 g), finely chopped"
210,Keto Oven-Baked Beef Meatballs with Radishes and Kale,"For the meatballs - 0.75 lb of ground beef (338 g) 1 medium egg (49 g), whisked 1 Tablespoon of garlic powder (10 g) 1 Tablespoon of onion powder (7 g) 2 teaspoons of cumin powder (4 g) 0.5 teaspoon of cinnamon powder (1 g) 0.5 teaspoon of pepper (1 g) Salt, to taste For the radishes and kale - 2 Tablespoons of olive oil (30 ml), to cook with 4 oz of kale (112 g), stems removed and chopped 6 radishes (12 g), halved 1 Tablespoon of lemon juice (15 ml) Salt and pepper, to taste 0.85 oz of sliced almonds (24 g) (for garnish)"
211,Keto Olive Chicken and Avocado Salad,"For the salad - 2 Tablespoons of coconut oil (30 ml), to cook the chicken with 1 chicken breast (200 g), diced 1 head of romaine lettuce (200 g), chopped 1 large avocado (200 g), diced 1 small tomato (90 g), diced 8 olives (24 g), sliced Salt, to taste For the dressing - 2 Tablespoons of olive oil (30 ml) 1 Tablespoon of lemon juice (15 ml)"
212,Keto Fish Tacos with Guacamole,"For the fish tacos - 6 Tablespoons of coconut flour (42 g) 1 Tablespoon of garlic powder (10 g) 2 teaspoons of cumin powder (4 g) 2 filets of cod, fresh or frozen, (340 g), defrosted if frozen, cut into ½-inch by 3-inch (1.5 cm by 7.5 cm) strips 0.25 cup of coconut oil (60 ml), to cook with (plus additional, if needed) 1 head of romaine lettuce (200 g), leaves separated 2 Tablespoons of fresh cilantro (2 g), chopped (for garnish) Salt and pepper, to taste For the guacamole - 0.5 large avocado (100 g), mashed 1 Tablespoon of lime juice (15 ml) 0.5 Tablespoon of garlic powder (5 g) 0.5 Tablespoon of onion powder (4 g) Salt and pepper, to taste"
213,Keto Simple BLT Salad,"4 slices of bacon (112 g), diced 2 Tablespoons of coconut oil (30 ml), to cook with 2 medium eggs (98 g) 1 head of romaine lettuce (200 g), chopped 2 Tablespoons of mayo (30 ml) 0.5 large avocado (100 g), sliced 1 small tomato (90 g), sliced Salt and pepper, to taste"
214,Keto Chili-Lime Marinated Steak with Roasted Red Peppers and Onions,"For the steak - 2 Tablespoons of olive oil (30 ml) 2 Tablespoons of lime juice (30 ml) 2 teaspoons of chili powder (4 g) (or to taste) 2 beef steaks (400 g) Salt and pepper, to taste For the peppers and onions - 2 medium bell peppers (240 g), chopped 1 medium onion (110 g), chopped 1 Tablespoon of avocado oil (15 ml) 1 teaspoon of vinegar (5 ml) (of choice) Salt and pepper, to taste"
215,Keto Scrambled Eggs with Radishes and Guacamole Bowl,"1 large avocado (200 g), mashed 1 small tomato (90 g), diced 2 green onions (10 g), diced 2 cloves of garlic (6 g), minced or finely diced 2 Tablespoons of fresh cilantro (2 g), chopped 1 Tablespoon of coconut oil (15 ml), to cook eggs in 4 medium eggs (196 g), whisked 2 radishes (4 g), sliced Salt and pepper, to taste"
216,Keto Chicken Bacon Radish Salad,"1 Tablespoon of coconut oil (15 ml), to cook with 4 slices of bacon (112 g), diced 1 chicken breast (200 g), diced 1 zucchini (120 g), shredded 1 carrot (50 g), shredded 4 radishes (8 g), shredded or thinly sliced 1 teaspoon of hot sauce (5 ml) (optional) Salt and pepper, to taste"
217,Keto Seafood Cauliflower Risotto,"2 Tablespoons of coconut oil (30 ml), divided, to cook with 1 filet of cod, fresh or frozen (170 g), defrosted if frozen, chopped 0.25 lb of shrimp, fresh or frozen (113 g), defrosted if frozen, peeled and chopped 0.5 head of cauliflower (300 g), processed into rice-like pieces 1 small tomato (90 g), diced 2 green onions (10 g), diced 0.5 cup of coconut cream (120 ml) (from the top of 1 refrigerated can of coconut milk) 2 cloves of garlic (6 g), minced or finely diced 2 Tablespoons of fresh cilantro (2 g), chopped Salt and pepper, to taste"
218,Keto Easy Asian Stir-Fry Bowls,"2 Tablespoons of avocado oil (30 ml), divided, to cook with 0.5 head of cabbage (350 g), sliced 0.5 lb of ground beef (225 g) 2 green onions (10 g), diced 2 cloves of garlic (6 g), minced or finely diced 2 Tablespoons of fresh cilantro (2 g), chopped 2 Tablespoons of gluten-free tamari sauce or coconut aminos (30 ml) Salt and pepper, to taste"
219,Keto Chocolate Chia Pudding,"2 Tablespoons of cacao powder (12 g) 1 cup of coconut milk (240 ml) (from a room temperature can) 1/3 cup of chia seeds (64 g) 1 Tablespoon of shredded coconut (5 g) (for garnish) Keto sweetener, of choice (optional)"
221,Keto Quick Stir-Fried Beef,"1 Tablespoon of coconut oil (15 ml), to cook with 0.5 medium onion (55 g), diced 0.75 lb of ground beef (338 g) 1 carrot (50 g), grated 1 Tablespoon of mustard (15 ml) 0.25 cup of beef broth (60 ml) 2 Tablespoons of fresh parsley (2 g), chopped (for garnish) Salt and pepper, to taste"
222,Keto Spicy Salmon with Turmeric Rice,"For the spicy salmon - 2 Tablespoons of avocado oil (30 ml) 2 teaspoons of paprika (4 g) 1 teaspoon of chili powder (2 g) 1 teaspoon of hot sauce (5 ml) (or to taste) (optional) Salt and pepper, to taste 2 filets of salmon (with skin on), fresh or frozen (340 g), defrosted if frozen For the turmeric “rice” - 0.5 head of cauliflower (300 g), processed into ""rice""-like particles 1 teaspoon of turmeric (2 g) 1 Tablespoon of coconut oil (15 ml), to cook cauliflower rice in Salt and pepper, to taste"
223,Keto Easy Veggie Frittata,"2 Tablespoons of ghee (30 ml), to cook with 4 slices of bacon (112 g), diced 1 medium bell pepper (120 g), diced 1 medium onion (110 g), diced 2 cups of spinach (60 g), chopped 1 small tomato (90 g), diced 8 medium eggs, whisked 10 olives (30 g), diced 0.25 cup of fresh basil leaves (8 g), chopped 2 cloves of garlic (6 g), minced or finely diced 0.5 cup of coconut cream (120 ml) (from the top of 1 refrigerated can of coconut milk) Salt and pepper, to taste"
224,Keto One-Pan Spaghetti Bolognese,"1 Tablespoon of ghee (15 ml), to cook with 0.75 lb of ground beef (338 g) 2 small tomatoes (180 g), finely diced 0.5 medium onion (55 g), finely diced 0.25 cup of beef broth (60 ml), (plus additional, if needed) 4 cloves of garlic (12 g), minced or finely diced 1 zucchini (120 g), spiralized or shredded Salt and pepper, to taste"
225,Keto Tuna Salad Nicoise,"For the salad - 2 medium eggs (98 g) 1 head of romaine lettuce (200 g), chopped 2 cans of tuna (340 g), drained and flaked 1 small tomato (90 g), sliced 8 olives (24 g), chopped For the dressing - 0.25 cup of olive oil (60 ml) 2 Tablespoons of lemon juice (30 ml) 1 teaspoon of mustard (5 ml) Salt and pepper, to taste"
226,Keto Mexican Baked Chicken Breasts with Fried Avocado Slices,"1 Tablespoon of garlic powder (10 g) 1 Tablespoon of onion powder (7 g) 1 teaspoon of chili powder (2 g) 1 teaspoon of cumin powder (2 g) 1 teaspoon of dried oregano (1 g) 2 chicken breasts (400 g) 3 Tablespoons of avocado oil (45 ml), divided 1 large avocado (200 g), sliced Salt and pepper, to taste"
227,Keto Bacon Chorizo Meatloaf with Lemon Fennel Cabbage Slaw,"For the meatloaf - 1 lb of ground beef (450 g) 0.4 lb of chorizo (180 g), finely diced 0.5 medium onion (55 g), diced 1 medium egg (49 g), whisked 0.25 cup of coconut milk (60 ml) (plus additional, if needed) 0.25 cup of almond flour (30 g) 2 cloves of garlic (6 g), minced or finely diced 0.25 cup of fresh parsley (8 g), chopped Salt and pepper, to taste 4 slices of bacon (112 g), each slice cut into 2 pieces For the slaw - 1 head of cabbage (700 g), thinly sliced 0.25 cup of olive oil (60 ml) 2 Tablespoons of lemon juice (30 ml) 1 Tablespoon of fennel seeds (6 g) 2 Tablespoons of fresh parsley (4 g), chopped Salt and pepper, to taste"
